raw_smiles,is_valid,canonical_smiles,isomeric_smiles,failure_reasons,is_unique_valid,generation_count,snn_to_train,novel_vs_train,novel_vs_all_seed,novel_vs_templates,novel_vs_all_reference,stereo_novel_vs_train,stereo_novel_vs_all_reference,chemically_sane,sanity_reasons,formal_charge,heavy_atoms,is_neutral,is_single_component,has_LA,has_LB,LA_types,LB_types,excluded_LB_types,negative_flags,flp_tier,min_LA_LB_bonds,no_negative_flags,is_strict_flp_like,is_novel_flp_like,is_final_candidate
Cc1cc(C)cc(C)cc2C)c(Cl)c(Cl)c(C)c1c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C2N(Cc3cc(C)cc(C)cc1)B(c2c(B(c4c(Cl)c(Cl)c(Cl)c2cccc4)c4c(F)c(F)c(F)c(F)c1cccc,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c(P(c3c(F)c3cccccc2N(Cc3cc(C)cc2C(C)(C)cc2C)c2c(F)c(F)c1c(F)c(F)c(F)c2F)C2C3CCC(B(c2c(C)c2c(F)c2F)c(F)c(F)c2F)P(c2c(F)c(F)c(F)c(F)c(F)c3)cc1Cl)c(Cl)c(Cl)c(Cl)c(C,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1(C)c1,False,,,['parse_failure'],False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)P(c1c(Cl)c(Cl)c(Cl)c1Cl)c1Cl,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc2N(Cc3ccccc3c2-c2c-3cccc1C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(N(C)C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc(C)c1,True,Cc1cccc(C)c1,Cc1cccc(C)c1,[],True,1,0.2631578947368421,True,True,True,True,True,True,False,['too_small'],0.0,8.0,True,True,False,False,[],[],[],[],no_LA_LB,,True,False,False,False
Clc1c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c(Cl)c(Cl)c1Cl)=C(c1cc(C)cc2C)c(N(c2c(Cl)c2c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc2C)c(-c2ccccc(C)c(P(c2ccccn2)c2ccccc12,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C(C)(C)B(c2c(Cl)c(C)cc1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c(P(c2cccc3O2)c2c(C)c(P(c3c(F)c(F)c(F)c(F)c(F)c(Cl)c3c(F)c(F)c(F)c(F)c(F)c(F)c2c(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)C,True,CC(C)(C)C,CC(C)(C)C,[],True,8,0.15,True,True,True,True,True,True,False,['too_small'],0.0,5.0,True,True,False,False,[],[],[],[],no_LA_LB,,True,False,False,False
CC1(C)CB(c2c(F)c1F)c1F)c1F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(=CCB(c1cccc(P(c3c(Cl)c(Cl)c3Cl)C2CCCC2P(c2c(F)c(F)c(F)c(F)c1)C2B(c2c(F)c3F)C(c3c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1(C)CCCCC2)C2CC(P(c2c(C)cc(C)cc(B(c2cccc2)c2c(Cl)c(C)cc3C)c3c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)cc(C)c1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(CB(c2c(F)c(F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc(-c2c-3cccc2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c3cccc1P(c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c2c(Cl)c2ccccccccc2B(c2c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F),False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)CB(c2c(P(c2c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c2Cl)c(F)c(F)c2F)n1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCC1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
c1cccc2)c2cccc1,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)C)c(P(CCB(c1c(C)c(P(c2c(Cl)c(C)cc2C)c2ccccccc(C)c2Cl)n1,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccc(P(c4c(Cl)c1cccccc2)c2cc(C)cc2C)c2c(F)c(F)c(F)c1F,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccc(B(c3c(F)c(F)c(F)c(F)c(F)c2F)c2ccccc(C)cc2C)c(P(c2cccc1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(C)cc(C(=CC(C)(C)N1c1cc(C)c1,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(C)c(Cl)c(C)cc(C)c(C)cc2C)c2Cl)c1Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
COB(OC)c1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc(P(c2c(C)cc2C)c2c(F)c(F)c(F)c2F)c(F)c2F)c(F)c1c(F)c(F)c(B(c4cccc3)C[B-]2(c3c(C)c1c(F)c1cc(C)cc(C)cc2C)c2c(F)c(F)c2F)c2F)c2ccccccc3)c3c2Oc2c(F)c(F)c(F)c(F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccc(B(c3c(Cl)c(Cl)c(C(F)(F)F)cc(C)cc(C)cc(C)cc2C)c(B(c3c(Cl)c2Cl)P(c2cc(-c3cc(C)cc1)c1c(F)c(F)c2F)c2c(Cl)c(C)cc2C(C)P(CB(c2c(Cl)c(Cl)c(Cl)c1c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCN(CC)C(C)(C)C,True,CCN(CC)C(C)(C)C,CCN(CC)C(C)(C)C,[],True,2,0.13513513513513514,True,True,True,True,True,True,False,['too_small'],0.0,9.0,True,True,False,True,[],['LB_amine'],[],[],LB_only,,True,False,False,False
CC1(C)cc2C)c(Cl)c2c(F)c(F)c(F)c1F)c1F)c1F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc1B(c1ccccc2)cc1C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1B(c1c(F)c(F)c(F)c(F)c2c(Cl)c2Cl)C2(c2cccccc1P(c1cc(C(C)(C)cc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc1)C(C)(C)B(c1c(C)c1,False,,,['parse_failure'],False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc3c2-c2c-3ccccccc2)c2c(Cl)c(C)cc(C)c(B(c2cccc3c2oc2c(C)cc2C)cc2C)c(Cl)c(Cl)c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1(C)cc2C)c2c(F)c2F)c2F)c(F)c3F)C2CCCCC1)C2B(c2c(F)c3c(F)c(F)c(F)c(F)c(B(C3CCCC1C(c1cc(C)cc(C)cc2C)c2c(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCC1C(c1cc(C)cc(C)cc1C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
c1cc1c(Cl)c(Cl)c(B(c2c(B(c3c(C)cc1C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(B(c2cccc1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)C=C(B(c2cccc(C)c3cc(C)cc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc1)C2B(c2ccccc1)c1cccc1P(c1ccccc2)c2c(C)cc(C)c1c(C)cc2C)c(B(c1c(B(c1ccc(c34)P2c2cccc2N3Cc2cccc(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c(C)cc(C)cc(C)c(B(c1c(Cl)c(Cl)c2Cl)c(Cl)c,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CN1c2c(C)cc(C)c(P(c3c(Cl)c2Cl)c(Cl)c(Cl)c2C)c(Cl)c(C23CC(C)C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Clc1c(C)c(C)c(P(CCB(c1c(Cl)c(Cl)c1c(F)c(F)c2F)c2F)c2F)n1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(CB(c1c(F)c(F)c(F)c(F)c(F)c(F)c2F)c2cccccc2P(c2cccc2)c2ccccc1)c1ccc(B(Cc2cc(C)cc(C)cc(C)cc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Fc1c(Cl)c2Cl)c(Cl)c(C)cc(C(F)(F)F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(C)cc(C)c2c(C)c(PC(=CCB(c2c(C)c([P+]2(c2cccc(C)cc2C)c(Cl)c(Cl)c2Cl)c(Cl)c2Cl)c1c(F)c(F)c(F)c1F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc1N(C)C,False,,,"['kekulization_failure', 'sanitization_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc2C)C2CCCC(C)(C)C2CC(P(c3c(F)c(F)c(F)c(F)c(F)c2F)c(F)c(F)c(F)c2F)c2F)c(F)c1F)c1F)CP(c1c(F)c(F)c(F)c(F)c(F)c(F)c(F)c2ccccccc3cccc1)c1c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c1c,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c1c(C)cc2C)c(-c3ccccc2)c2cccccc2B(c1c(Cl)c(C)cc(C)c1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c2cccc5)c5cccc3)c3c(F)c(F)c3F)cccc1)C2B(c2c(Cl)c2c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c3Cl)c(Cl)c2c(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c1cccc2)c2c(C)c3c(F)c(F)c(F)c(F)c2cccc2C)c(Cl)c(Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc2C)c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(C)cc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1ccc(C)cc1C,True,Cc1ccc(C)c(C)c1,Cc1ccc(C)c(C)c1,[],True,1,0.28205128205128205,True,True,True,True,True,True,False,['too_small'],0.0,9.0,True,True,False,False,[],[],[],[],no_LA_LB,,True,False,False,False
CC(C3)C2B(c2cccc2)c2cccc3c2-c2cccc3)cc1)C2B(c2c(F)c1c(Cl)c(Cl)c1cc(C)cc3C)C(c1cc(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c(Cl)c1Cl,False,,,"['kekulization_failure', 'sanitization_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(B(c2c(F)c(F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)c(Cl)c1c(F)c(F)c(F)c(F)c2c(C)c(Cl)c2c(C)cc(C)cc(C)c1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC1C(c1c(F)c2F)c(F)c(F)c1F,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Fc1c(Cl)c(Cl)c(C)c1,False,,,"['kekulization_failure', 'sanitization_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(C)cc(C)cccc2c1-c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c2Cl)c1Cl)c(Cl)c(Cl)c2Cl)c(B(c2c(F)c(F)c(F)c(F)c(B(c1cccc2)c2c(Cl)c(Cl)c(C)cc(C)cc3C)C(B(c2c(F)c(F)c(F)c(F,False,,,"['reached_max_length', 'unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)C)c2c(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c(B(CC(C)(C)P(c1c(C)cc2C)c2c(F)c(F)c(Cl)c2Cl)c(Cl)c(Cl)c2Cl)c1cccccc3)C3CCC(C)(C)CCCC(CC)CCCCC1,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
c1cccc1N1C(C)(C)C)cc(C)cc2C)c(C(F)(F)F)ccccc32)c(F)c1F,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Clc1c(Cl)c1Cl)c(Cl)c(Cl)c2c(Cl)c(Cl)c2Cl)c1Cl)c(Cl)c3c(Cl)c(Cl)c(Cl)c2c(C)cc(B(C3CCC(B(c2c(F)c(F)c(F)c2F)c2cccc3C)c2c(C)c1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc2P(c2c(F)c1F,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCC1)C1CCC2N2CCCCCC1)C2B(c2c(Cl)c2Cl)c1Cl,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cccc(B(CC(c2c(Cl)c(Cl)c2c(C)c1,False,,,"['unbalanced_parentheses', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
Cc1cc(C)cc(C)cc1C,False,,,"['kekulization_failure', 'sanitization_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)cc2C)cc1C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CCN(C)cc3C)=C3CCCCB(c2c(F)c(F)c(F)c(F)c(F)c2F)C2CCCCCCCCC(C)C=C2B(c2ccccc2)CCCC1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)COCC(C)(C)CC(c2c(B(c3c(Cl)c(Cl)c3Cl)c(Cl)c(Cl)c2ccccc23)cccc1,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC=C(CP(c2cccc2)c2c(Cl)c(C)cc(C(C)(C)C,False,,,"['unbalanced_parentheses', 'unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
CC(C)(C)P(c2c(F)c1F)c1F,False,,,"['unmatched_ring_closure', 'parse_failure']",False,0,,True,True,True,True,True,True,False,['invalid_smiles'],,,False,False,False,False,[],[],[],[],invalid,,True,False,False,False
