generated_smiles,reached_max_length
Cc1cc(C)cc(C)cc2C)c(Cl)c(Cl)c(C)c1c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(C2N(Cc3cc(C)cc(C)cc1)B(c2c(B(c4c(Cl)c(Cl)c(Cl)c2cccc4)c4c(F)c(F)c(F)c(F)c1cccc,True
Cc1cc(C)c(P(c3c(F)c3cccccc2N(Cc3cc(C)cc2C(C)(C)cc2C)c2c(F)c(F)c1c(F)c(F)c(F)c2F)C2C3CCC(B(c2c(C)c2c(F)c2F)c(F)c(F)c2F)P(c2c(F)c(F)c(F)c(F)c(F)c3)cc1Cl)c(Cl)c(Cl)c(Cl)c(C,True
CC1(C)c1,False
CC(C)(C)P(c1c(Cl)c(Cl)c(Cl)c1Cl)c1Cl,False
Cc1cccc2N(Cc3ccccc3c2-c2c-3cccc1C,False
Cc1cc(N(C)C,False
Cc1cccc(C)c1,False
Clc1c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c(Cl)c(Cl)c1Cl)=C(c1cc(C)cc2C)c(N(c2c(Cl)c2c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,False
Cc1cc(C)cc2C)c(-c2ccccc(C)c(P(c2ccccn2)c2ccccc12,False
Cc1cc(C(C)(C)B(c2c(Cl)c(C)cc1,False
Cc1cc(C)c(P(c2cccc3O2)c2c(C)c(P(c3c(F)c(F)c(F)c(F)c(F)c(Cl)c3c(F)c(F)c(F)c(F)c(F)c(F)c2c(C)c1,False
CC(C)(C)C,False
CC1(C)CB(c2c(F)c1F)c1F)c1F)c1F,False
CC(=CCB(c1cccc(P(c3c(Cl)c(Cl)c3Cl)C2CCCC2P(c2c(F)c(F)c(F)c(F)c1)C2B(c2c(F)c3F)C(c3c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,False
CC1(C)CCCCC2)C2CC(P(c2c(C)cc(C)cc(B(c2cccc2)c2c(Cl)c(C)cc3C)c3c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)cc(C)c1,False
CC(CB(c2c(F)c(F)c1F,False
Cc1cccc(-c2c-3cccc2B(c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c3cccc1P(c1c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c2c(Cl)c2ccccccccc2B(c2c(F)c(F)c(F)c(F)c(F)c(F)c(F)c(F),True
CC(C)(C)CB(c2c(P(c2c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c2Cl)c(F)c(F)c2F)n1,False
CCC1,False
c1cccc2)c2cccc1,False
CC(C)(C)C)c(P(CCB(c1c(C)c(P(c2c(Cl)c(C)cc2C)c2ccccccc(C)c2Cl)n1,False
Cc1ccc(P(c4c(Cl)c1cccccc2)c2cc(C)cc2C)c2c(F)c(F)c(F)c1F,False
Cc1ccc(B(c3c(F)c(F)c(F)c(F)c(F)c2F)c2ccccc(C)cc2C)c(P(c2cccc1,False
Cc1cc(C)cc(C)cc(C(=CC(C)(C)N1c1cc(C)c1,False
Cc1cc(C)cc(C)c(Cl)c(C)cc(C)c(C)cc2C)c2Cl)c1Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,False
COB(OC)c1,False
Cc1cccc(P(c2c(C)cc2C)c2c(F)c(F)c(F)c2F)c(F)c2F)c(F)c1c(F)c(F)c(B(c4cccc3)C[B-]2(c3c(C)c1c(F)c1cc(C)cc(C)cc2C)c2c(F)c(F)c2F)c2F)c2ccccccc3)c3c2Oc2c(F)c(F)c(F)c(F)c1F,False
Cc1ccc(B(c3c(Cl)c(Cl)c(C(F)(F)F)cc(C)cc(C)cc(C)cc2C)c(B(c3c(Cl)c2Cl)P(c2cc(-c3cc(C)cc1)c1c(F)c(F)c2F)c2c(Cl)c(C)cc2C(C)P(CB(c2c(Cl)c(Cl)c(Cl)c1c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c,True
CCN(CC)C(C)(C)C,False
CC1(C)cc2C)c(Cl)c2c(F)c(F)c(F)c1F)c1F)c1F)c1F,False
Cc1cccc1B(c1ccccc2)cc1C)c1,False
CC1B(c1c(F)c(F)c(F)c(F)c2c(Cl)c2Cl)C2(c2cccccc1P(c1cc(C(C)(C)cc(C)c1,False
Cc1cccc1)C(C)(C)B(c1c(C)c1,False
Cc1cccc3c2-c2c-3ccccccc2)c2c(Cl)c(C)cc(C)c(B(c2cccc3c2oc2c(C)cc2C)cc2C)c(Cl)c(Cl)c(Cl)c1Cl,False
CC1(C)cc2C)c2c(F)c2F)c2F)c(F)c3F)C2CCCCC1)C2B(c2c(F)c3c(F)c(F)c(F)c(F)c(B(C3CCCC1C(c1cc(C)cc(C)cc2C)c2c(C)c1,False
CCC1C(c1cc(C)cc(C)cc1C,False
c1cc1c(Cl)c(Cl)c(B(c2c(B(c3c(C)cc1C)c1,False
CC(B(c2cccc1,False
CC(C)C=C(B(c2cccc(C)c3cc(C)cc(C)c1,False
Cc1cc(C)cc1)C2B(c2ccccc1)c1cccc1P(c1ccccc2)c2c(C)cc(C)c1c(C)cc2C)c(B(c1c(B(c1ccc(c34)P2c2cccc2N3Cc2cccc(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c(C)cc(C)cc(C)c(B(c1c(Cl)c(Cl)c2Cl)c(Cl)c,True
CN1c2c(C)cc(C)c(P(c3c(Cl)c2Cl)c(Cl)c(Cl)c2C)c(Cl)c(C23CC(C)C,False
Clc1c(C)c(C)c(P(CCB(c1c(Cl)c(Cl)c1c(F)c(F)c2F)c2F)c2F)n1,False
Cc1cc(C)cc(CB(c1c(F)c(F)c(F)c(F)c(F)c(F)c2F)c2cccccc2P(c2cccc2)c2ccccc1)c1ccc(B(Cc2cc(C)cc(C)cc(C)cc(C)c1,False
Fc1c(Cl)c2Cl)c(Cl)c(C)cc(C(F)(F)F)c1F,False
Cc1cc(C)cc(C)cc(C)c2c(C)c(PC(=CCB(c2c(C)c([P+]2(c2cccc(C)cc2C)c(Cl)c(Cl)c2Cl)c(Cl)c2Cl)c1c(F)c(F)c(F)c1F)c1F,False
Cc1cccc1N(C)C,False
Cc1cc(C)cc2C)C2CCCC(C)(C)C2CC(P(c3c(F)c(F)c(F)c(F)c(F)c2F)c(F)c(F)c(F)c2F)c2F)c(F)c1F)c1F)CP(c1c(F)c(F)c(F)c(F)c(F)c(F)c(F)c2ccccccc3cccc1)c1c(Cl)c(Cl)c(Cl)c2Cl)c2Cl)c1c,True
Cc1cc(C)c1c(C)cc2C)c(-c3ccccc2)c2cccccc2B(c1c(Cl)c(C)cc(C)c1,False
Cc1cc(C)c2cccc5)c5cccc3)c3c(F)c(F)c3F)cccc1)C2B(c2c(Cl)c2c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c3Cl)c(Cl)c2c(C)c1,False
Cc1cc(C)c1cccc2)c2c(C)c3c(F)c(F)c(F)c(F)c2cccc2C)c(Cl)c(Cl)c1Cl,False
Cc1cc(C)cc2C)c(Cl)c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(C)cc(C)c1,False
Cc1ccc(C)cc1C,False
CC(C3)C2B(c2cccc2)c2cccc3c2-c2cccc3)cc1)C2B(c2c(F)c1c(Cl)c(Cl)c1cc(C)cc3C)C(c1cc(C)c1,False
Cc1cc(C)c(Cl)c1Cl,False
CC(B(c2c(F)c(F)c1F,False
Cc1cc(C)c(Cl)c1c(F)c(F)c(F)c(F)c2c(C)c(Cl)c2c(C)cc(C)cc(C)c1,False
CC1C(c1c(F)c2F)c(F)c(F)c1F,False
Fc1c(Cl)c(Cl)c(C)c1,False
